Persona;Oficio
Juan Antonio Blázquez;1. Comerciante
Francisco Velad;2. Alcalde ordinario de Veracruz
Joaquín del Moral y Beristain;3. Hacendado
Domingo del Moral y Beristain;4. Alguacil mayor de la Inquisición de México
fray Bartolomé Valentín;5. Eclesiastico
Juan del Moral y Beristain;5. Eclesiastico
José Díaz de Guitian;1. Comerciante
Nicolás Fernández del Castillo;1. Comerciante
Lorenzo Careu;1. Comerciante
Sánchez y Cueto;1. Comerciante
María Justa Blázquez;99. Desconocido 
Andrés del Moral y Beristain;6. Alguacil mayor de Tehuacán
Isidro Marín Bullón;5. Eclesiastico
Jerónimo Díaz;99. Desconocido 
Manuela Castellanos;99. Desconocido 
María Beristain;99. Desconocido 
José Ruiz de León;5. Eclesiastico
Francisco Maldonado;99. Desconocido 
Capitán de la valandra;7. Capitán
Santiago de Herrera;99. Desconocido 
Francisco de Obregón;99. Desconocido 
Juan Antonio Torremocha Granhero;8. Abogado de los Reales Consejos
Juan Valentín de Villanueva;9. Cargador de flota 
Perdro Sáez de Santa María;99. Desconocido 
Gaspar Sáez Rico;99. Desconocido 
Juan de Zanzena;10. Caballerizo del obispo
Pedro Ortiz de Letona;11. Correo mayor