Personas;Estatus dentro de la familia Moral y Beristain
Juan Antonio Blázquez;1. Pariente por afinidad
Luisa Blázquez;1. Pariente por afinidad
Jerónimo Díaz;99. Desconocido
Domingo del Moral y Beristain;2. Pariente consanguineo
María Beristain;1. Pariente por afinidad
Andrés del Moral y Beristain;2. Pariente consanguineo
Joaquín del Moral y Beristain;2. Pariente consanguineo
Juan del Moral y Beristain;2. Pariente consanguineo
José Ruiz de León;4. Conocido de la familia
Antonio Nogales;99. Desconocido
Ana María del Moral;2. Pariente consanguineo
Isidro Marín Bullón;1. Pariente por afinidad
Luis Blázquez;2. Pariente consanguineo
Guitian o Careu;4. Conocido de la familia
María Justa Blázquez;2. Pariente consanguineo
Matías Jacinto Marín Bullón;1. Pariente por afinidad
Padres y hermanos de Isidro Marín Bullón ;1. Pariente por afinidad