Emisor;Recpetor;Lugar de emisión;Lugar de recepción;Fecha
Luisa Blázquez;Juan Antonio Blázquez;1;1;1
Jerónimo Díaz;Juan Antonio Blázquez;2;1;2
Domingo del Moral y Beristain;Juan Antonio Blázquez;3;1;3
María Beristain;Juan Antonio Blázquez;2;1;4
Domingo del Moral y Beristain;Juan Antonio Blázquez;2;1;5
Andrés del Moral y Beristain;Juan Antonio Blázquez;2;1;6
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4;1;7
Domingo del Moral y Beristain;Juan Antonio Blázquez;3;1;8
Juan del Moral y Beristain;Juan Antonio Blázquez;5;1;8
José Ruiz de León;Juan Antonio Blázquez;6;1;9
Domingo del Moral y Beristain;Juan Antonio Blázquez;2;1;10
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4;1;10
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4;1;10
Domingo del Moral y Beristain;Juan Antonio Blázquez;2;1;11
Juan del Moral y Beristain;Juan Antonio Blázquez;5;1;12
Juan del Moral y Beristain;Luis Blázquez;5;1;12
Domingo del Moral y Beristain;Juan Antonio Blázquez;2;1;13
María Beristain;Juan Antonio Blázquez;2;1;13
Domingo del Moral y Beristain;Juan Antonio Blázquez;2;2;14
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4;2;15
Juan Antonio Blázquez;Domingo del Moral y Beristain;1;3;16
Antonio Nogales;Juan Antonio Blázquez;6;2;17
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4;2;18
Joaquín del Moral y Beristain;Juan Antonio Blázquez;2;2;19
Domingo del Moral y Beristain;Juan Antonio Blázquez;2;2;20
Domingo del Moral y Beristain;Juan Antonio Blázquez;2;2;21
Andrés del Moral y Beristain;Juan Antonio Blázquez;2;2;22
Juan del Moral y Beristain;Juan Antonio Blázquez;5;2;23
Domingo del Moral y Beristain;Juan Antonio Blázquez;6;2;24
Domingo del Moral y Beristain;Juan Antonio Blázquez;2;2;25
Joaquín del Moral y Beristain;Juan Antonio Blázquez;2;2;26
Juan del Moral y Beristain;Juan Antonio Blázquez;2;2;27
Juan del Moral y Beristain;Juan Antonio Blázquez;2;2;28
Domingo del Moral y Beristain;Juan Antonio Blázquez;2;2;29
Domingo del Moral y Beristain;Juan Antonio Blázquez;2;2;30
Juan del Moral y Beristain;Juan Antonio Blázquez;2;2;31
Antonio Nogales;Juan Antonio Blázquez;6;2;32
Joaquín del Moral y Beristain;Juan Antonio Blázquez;2;2;33
Juan del Moral y Beristain;Juan Antonio Blázquez;2;2;34
Domingo del Moral y Beristain;Juan Antonio Blázquez;7;2;35
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4;2;36
Domingo del Moral y Beristain;Juan Antonio Blázquez;2;2;37
Antonio Nogales;Juan Antonio Blázquez;6;2;38
Domingo del Moral y Beristain;Juan Antonio Blázquez;2;2;39
Domingo del Moral y Beristain;Juan Antonio Blázquez;2;2;40
Domingo del Moral y Beristain;Guitian o Careu;2;4;40
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4;2;41
Ana María del Moral;María Justa Blázquez;4;2;41
Isidro Marín Bullón;Juan Antonio Blázquez;2;2;42
Andrés del Moral y Beristain;Juan Antonio Blázquez;2;2;43
Joaquín del Moral y Beristain;Juan Antonio Blázquez;2;2;44
Domingo del Moral y Beristain;Isidro Marín Bullón;2;5;45
Domingo del Moral y Beristain;Juan Antonio Blázquez;2;2;46
Domingo del Moral y Beristain;Matías Jacinto Marín Bullón;2;2;46
Isidro Marín Bullón;Padres y hermanos de Isidro Marín Bullón;8;2;47
Andrés del Moral y Beristain;Juan Antonio Blázquez;2;2;48
Andrés del Moral y Beristain;Matías Jacinto Marín Bullón;2;2;48